booth_no,type,geometry
3420,pt,"POLYGON ((-79.38465144316336 43.64276595003196, -79.38461429639013 43.64277361093293, -79.38460397246418 43.6427473958291, -79.38464111923741 43.6427397349248, -79.38465144316336 43.64276595003196))"
3422,pt,"POLYGON ((-79.38461429639013 43.64277361093293, -79.38457714961687 43.64278127183292, -79.38456682569091 43.64275505673243, -79.38460397246418 43.6427473958291, -79.38461429639013 43.64277361093293))"
3424,pt,"POLYGON ((-79.38457714961687 43.64278127183292, -79.38454000284362 43.64278893273192, -79.38452967891766 43.64276271763479, -79.38456682569091 43.64275505673243, -79.38457714961687 43.64278127183292))"
3426,pt,"POLYGON ((-79.38454000284362 43.64278893273192, -79.38450285607034 43.64279659362995, -79.38449253214441 43.64277037853616, -79.38452967891766 43.64276271763479, -79.38454000284362 43.64278893273192))"
3428,pt,"POLYGON ((-79.38450285607034 43.64279659362995, -79.3844657092971 43.64280425452702, -79.38445538537115 43.64277803943656, -79.38449253214441 43.64277037853616, -79.38450285607034 43.64279659362995))"
2605,pt,"POLYGON ((-79.38474295671836 43.64268842409641, -79.38470580994509 43.64269608500726, -79.38469548601914 43.6426698698696, -79.38473263279239 43.64266220895541, -79.38474295671836 43.64268842409641))"
2607,pt,"POLYGON ((-79.38473263279239 43.64266220895541, -79.38469548601914 43.6426698698696, -79.38468516209318 43.6426436547205, -79.38472230886643 43.64263599380297, -79.38473263279239 43.64266220895541))"
2609,pt,"POLYGON ((-79.38472230886643 43.64263599380297, -79.38468516209318 43.6426436547205, -79.38467483816721 43.64261743955996, -79.38471198494047 43.64260977863909, -79.38472230886643 43.64263599380297))"
2806,pt,"POLYGON ((-79.38470580994509 43.64269608500726, -79.38466866317182 43.64270374591712, -79.38465833924587 43.64267753078281, -79.38469548601914 43.6426698698696, -79.38470580994509 43.64269608500726))"
2808,pt,"POLYGON ((-79.38469548601914 43.6426698698696, -79.38465833924587 43.64267753078281, -79.38464801531993 43.64265131563707, -79.38468516209318 43.6426436547205, -79.38469548601914 43.6426698698696))"
2810,pt,"POLYGON ((-79.38468516209318 43.6426436547205, -79.38464801531993 43.64265131563707, -79.38463769139396 43.64262510047987, -79.38467483816721 43.64261743955996, -79.38468516209318 43.6426436547205))"
2805,pt,"POLYGON ((-79.38463052319108 43.64271169870445, -79.38459337641783 43.64271935961233, -79.38458305249186 43.64269314448483, -79.38462019926511 43.64268548357361, -79.38463052319108 43.64271169870445))"
3006,pt,"POLYGON ((-79.38459337641783 43.64271935961233, -79.38455622964456 43.64272702051923, -79.38454590571861 43.64270080539508, -79.38458305249186 43.64269314448483, -79.38459337641783 43.64271935961233))"
2807,pt,"POLYGON ((-79.38462019926511 43.64268548357361, -79.38458305249186 43.64269314448483, -79.3845727285659 43.64266692934589, -79.38460987533917 43.64265926843133, -79.38462019926511 43.64268548357361))"
3008,pt,"POLYGON ((-79.38458305249186 43.64269314448483, -79.38454590571861 43.64270080539508, -79.38453558179265 43.64267459025948, -79.3845727285659 43.64266692934589, -79.38458305249186 43.64269314448483))"
3100,cs,"POLYGON ((-79.38428067231438 43.64202484163281, -79.3842700977896 43.6419977326893, -79.38430752076947 43.64199008794239, -79.38431809529425 43.64201719688936, -79.38428067231438 43.64202484163281))"
3102,cs,"POLYGON ((-79.3842700977896 43.6419977326893, -79.38425952326484 43.64197062373354, -79.38429694624472 43.64196297898319, -79.38430752076947 43.64199008794239, -79.3842700977896 43.6419977326893))"
3104,cs,"POLYGON ((-79.38425952326484 43.64197062373354, -79.38424894874005 43.64194351476556, -79.38428637171997 43.64193587001177, -79.38429694624472 43.64196297898319, -79.38425952326484 43.64197062373354))"
3106,cs,"POLYGON ((-79.38424894874005 43.64194351476556, -79.38423837421527 43.64191640578535, -79.38427579719517 43.64190876102811, -79.38428637171997 43.64193587001177, -79.38424894874005 43.64194351476556))"
3108,cs,"POLYGON ((-79.38423837421527 43.64191640578535, -79.38422779969052 43.6418892967929, -79.38426522267039 43.6418816520322, -79.38427579719517 43.64190876102811, -79.38423837421527 43.64191640578535))"
3110,cs,"POLYGON ((-79.38422779969052 43.6418892967929, -79.38421722516573 43.64186218778822, -79.38425464814561 43.64185454302408, -79.38426522267039 43.6418816520322, -79.38422779969052 43.6418892967929))"
