,name,commodity
265,Sherritt International Corporation,Copper
266,Sierra Metals Inc.,Copper
267,Sitka Gold Corp,Copper
268,SolGold,Copper
269,South32 Limited,Copper
270,SPC Metals,Copper
271,Sphinx Resources Ltd.,Copper
272,Spirit Mining LLC,Copper
273,Strategic Exploration Group,Copper
274,Stuhini Exploration Ltd.,Copper
275,Sun Peak Metals,Copper
276,Talon Metals Corp.,Copper
277,Teck Resources Limited,Copper
278,Tectonic Metals Inc.,Copper
279,Telson Mining Corporation,Copper
280,Tethyan Resource Corp.,Copper
281,Timberline Resources Corporation,Copper
282,Transition Metals Corp.,Copper
283,Trilogy Metals Inc.,Copper
284,Triumph Gold Corp.,Copper
285,Troilus Gold Corp.,Copper
286,Valoriza Mineria SL,Copper
287,Vizsla Resources Corp.,Copper
288,VR Resources Ltd.,Copper
289,Vulcan Minerals Inc.,Copper
290,Wealth Minerals Ltd.,Copper
291,Western Alaska Copper and Gold,Copper
292,Western Copper and Gold Corporation,Copper
293,White Rock Minerals,Copper
294,Windfall Geotek Inc.,Copper
295,Xiana Mining Inc.,Copper
296,Ximen Mining Corp.,Copper
297,Yorbeau Resources Inc.,Copper
298,Yukon Mining Alliance,Copper
299,Altius Minerals Corp.,Diamonds
300,Anglo American,Diamonds
301,Arctic Star Exploration Corp.,Diamonds
302,CanAlaska Uranium Ltd.,Diamonds
303,Conroy Gold and Natural Resources plc,Diamonds
304,Diamcor Mining Inc.,Diamonds
305,Discovery Group,Diamonds
306,Greg Exploration Inc.,Diamonds
307,Lundin Group,Diamonds
308,Moydow Resources Limited,Diamonds
309,North Arrow Minerals Inc.,Diamonds
310,Olivut Resources Ltd.,Diamonds
311,Rio Tinto,Diamonds
312,RJK Explorations Ltd.,Diamonds
313,Star Diamond Corporation,Diamonds
314,Strategic Exploration Group,Diamonds
315,Talmora Diamond Inc.,Diamonds
316,Transition Metals Corp.,Diamonds
317,Tres-Or Resources Ltd.,Diamonds
318,Windfall Geotek Inc.,Diamonds
319,Lara Exploration Ltd.,Fertilizers
320,Montero Mining & Exploration Ltd.,Fertilizers
321,SQM,Fertilizers
322,AbraPlata Resource Corp.,Gold
323,Adamera Minerals Corp.,Gold
324,Adriatic Metals Plc,Gold
325,Adventus Mining Corporation,Gold
326,Affinity Metals  Corp,Gold
327,Agnico Eagle Mines Limited,Gold
328,AJN Resources Inc.,Gold
329,Alacer Gold Corp.,Gold
330,Alamos Gold Inc.,Gold
331,Aldebaran Resources Inc.,Gold
332,Almaden Minerals Ltd.,Gold
333,Altamira Gold,Gold
334,Alto Ventures Ltd.,Gold
335,ALX Resources Corp.,Gold
336,Amarillo Gold Corp.,Gold
337,American Creek Resources Ltd.,Gold
338,Americas Gold and Silver,Gold
339,Amex Exploration,Gold
