add,city,country,exchange,geometry,name,region,state,stock,symbol,website
"555 Burrard St, Vancouver, BC V7X 1M8",Vancouver,ca,TSE/NYSE,POINT (-123.118097 49.286584),Alexco Resource Corp.,,British Columbia,2.47 CDN ,AXU,http://www.alexcoresource.com
"1333 Johnston St, Vancouver, BC V6H 3R9",Vancouver,ca,TSE/NYSE,POINT (-123.1349389 49.2718673),Almaden Minerals Ltd.,,British Columbia,0.66 CDN ,AMM/AAU ,http://www.almadenminerals.com
"409 Granville St, Vancouver, BC V6C 1T2",Vancouver,ca,TSX Venture/Frankfurt/US ,POINT (-123.1142912 49.2853029),Altamira Gold,,British Columbia,0.07 CDN ,ALTA/T6UP/EQTRF,http://www.altamiragold.com
"38 Duffy Place, St Johns, NL, A1B 4M5",St. John's,ca,TSE,POINT (-52.776632 47.559377),Altius Minerals Corp.,,Newfoundland and Labrador,11.44 CDN,ALS,http://www.altiusminerals.com
"800 West Pender St, Vancouver, BC V6C 2V6",Vancouver,ca,TSX Venture,POINT (-123.1164135 49.2853994),Alto Ventures Ltd.,,British Columbia,0.03 CDN,ATV,http://www.altoventures.com
"1199 West Pender St, Vancouver, BC V6E 2R1",Vancouver,ca,TSX Venture/Frankfurt/US ,POINT (-123.07925 49.280055),ALX Resources Corp.,,British Columbia,0.05 CDN ,AL/6LLN/ALXEF,http://www.alxresources.com
"82 Richmond St East, Toronto, ON M5C 1P1",Toronto,ca,TSX Venture,POINT (-79.3750388 43.6526534),Amarillo Gold Corp.,,Ontario,0.20 CDN ,AGC,http://www.amarillogold.com
"92 2 Ave W, Cardston, AB T0K 0K0",Town of Cardston,ca,TSX Venture,POINT (-113.3155792 49.2005905),American Creek Resources Ltd.,,Alberta,0.08 CDN ,AMK,http://www.americancreek.com
"145 King St W, Toronto, ON M5H 1J8",Toronto,ca,TSE,POINT (-79.387868 43.647262),Americas Gold and Silver,,Ontario,3.78 CDN,USA,http://www.americas-gold.com
"410 Rue Saint Nicolas, Montréal, QC H2Y 2P5",Montreal,ca,TSX Venture/FRA/OTCQX,POINT (-73.55605300000001 45.502082),Amex Exploration,,Quebec,1.46 CDN,AMX/MX0/AMXEF,http://www.amexexploration.com
"150 York St, Toronto, ON M5H 3S5",Toronto,ca,TSE/OTCQX ,POINT (-79.3845764 43.6495789),Anaconda Mining Inc.,,Ontario,0.24 CDN ,ANX/ANXGF ,http://www.anacondamining.com
Cl 108 45-30 Bogota,Suba,co,,POINT (-74.05936320000001 4.6958741),Andino Commodities S.A.S,,Bogota Capital District,,,
"20 Carlton House Terrace, St James's, London SW1Y 5AN",London,gb,London ,POINT (-0.130645 51.507148),Anglo American,,England,2.161.50 GBX,AAL ,http://www.angloamerican.com
"2 Toronto St, Toronto, ON M5C 2B6",Toronto,ca,CSE ,POINT (-79.376175 43.649696),Appia Energy Corp.,,Ontario,0.20 CDN,API,http://www.appiaenergy.ca
"141 Adelaide St W, Toronto, ON M5H 3L5",Toronto,ca,TSE/OTCQB,POINT (-79.404066 43.644554),Aquila Resources Inc.,,Ontario,0.15 CDN ,AQA/AQARF,http://www.aquilaresources.com
