name,exchange,symbol,stock,add,country
Copper Fox Metals Inc.,TSX-Venture ,CUU,0.09 CDN,"340 12th Ave SW, Calgary, AB T2R 1L5",ca
Copper Mountain Mining Corporation,TSE/Sydney (ASX),CMMC/C6C,0.79 CDN,"700 W Pender St, Vancouver, BC V6C 1G8",ca
Copperzone Resources Limited,Privately Held,,,"55 Metcalfe St, Ottawa, ON K1P 6L5",ca
Cornerstone Capital Resources Inc.,TSX-Venture/OTCQX/Frankfurt,CGP/CTNXF/GWN,3.49 CDN,"1730 St Laurent Blvd, Ottawa, ON K1G 3Y7",ca
Corvus Gold Inc.,TSE/OTCQX,KOR/CORVF,1.95 CDN,"700 W Pender St, Vancouver, BC V6C 1G8",ca
Critical Elements Corporation,TSX-Venture/OTCMKTS,CRE/CRECF,0.38 CDN,"1080 Côte du Beaver Hall, Montreal, QC H2Z 1S8",ca
Crystal Lake Mining,TSX-Venture/OTCQX/FSE,CLM/SIOCF/SPG-FF,0.15 CDN,"13236 Cliffstone Ct, Lake Country, BC V4V 2R1",ca
CVK Mining Group,,,,"İnönü Cad. No:8, Gümüşsuyu 34437 Beyoğlu İstanbul",tr
Defiance Silver Corp.,TSX-Venture/OTCQX,DEF/DNCVF,0.22 CDN,"595 Howe St, Vancouver, BC V6C 2T5",ca
Delta Resources Limited,TSX-Venture ,DLTA ,0.18 CDN,"1718 Christine Crescent, Kingston, ON K7L 4V4",ca
Denison Mines Corp.,TSE/NYSE,DML/DNN,0.50 CDN,"40 University Ave, Toronto, ON M5J 1T1",ca
Desert Gold Ventures Inc.,TSX-Venture ,DAU ,0.14 CDN,"4770 72nd St, Delta, BC V4K 3N3",ca
Desert Mountain Energy Corp.,TSX-Venture/OTCQX/Frankfurt,DME/DMEHF/QM01.F,0.23 CDN,"580 Hornby St, Vancouver, BC V6C 3B6",ca
Diamcor Mining Inc.,TSX-Venture/OTCQX,DMI/DMIFF,0.17 CDN,"1620 Dickson Ave, Kelowna, BC V1Y 9Y2",ca
