name,exchange,symbol,stock,add,country
Wealth Minerals Ltd.,TSX-Venture/OTCQB,WML/WMLLF,0.30 CDN,"1177 West Hastings St, Vancouver, BC V6E 2K3",ca
Wesdome Gold Mines,TSE,WDO,9.73 CDN,"220 Bay St, Toronto, ON M5J 2W4",ca
West Red Lake Gold Mines Inc.,CSE,RLG ,0.07 CDN,"82 Richmond St E, Toronto, ON  M5C 1P1",ca
Western Alaska Copper and Gold,private ,,,"3573 E Sunrise Drive, Tucson, AZ 85718",us
Western Atlas Resources Inc.,TSX-Venture,WA,0.08 CDN,"666 Burrard St, Vancouver, BC V6C 2X8",ca
Western Copper and Gold Corporation,TSE/NYSE,WRN,0.79 CDN,"1040 West Georgia St, Vancouver, BC V6E 4H",ca
Western Uranium & Vanadium Corp.,CSE/OTCQX,WUC/WSTRF,0.77 CDN,"330 Bay St, Toronto, ON M5H 2S8",ca
Westhaven Ventures Inc.,TSX-Venture,WHN ,0.70 CDN,"409 Granville St, Vancouver, BC V6C 1T2",ca
Wheaton Precious Metals Corp.,TSE/NYSE,WPM,41.65 CDN,"1021 West Hastings St Vancouver, BC V6E 0C3",ca
White Gold Corp.,TSX-Venture/OTC,WGO/WHGOF,0.87 CDN,"82 Richmond St E, Toronto, ON M5C 1P1",ca
White Rock Minerals,Sydney (ASX),WRM,0.00 AUS,"12 Anderson St, West Ballarat, Victoria 3350",au
Wildsky Resources Inc.,TSX-Venture/OTC,WSK/HWTHF,0.06 CDN,"580 Hornby St, Vancouver, BC V6C 3B6",ca
Windfall Geotek Inc.,TSX-Venture,WIN,0.09 CDN,"7005 Boulevard Taschereau, Brossard, QC J4Z 1A7",ca
Wolfden Resources Corporation,TSX-Venture,WLF ,0.14 CDN,"1100 Russell St, Thunder Bay, ON P7B 5N2",ca
Xiana Mining Inc.,TSX-Venture,XIA,0.22 CDN,"837 W Hastings St, Vancouver, BC V6C 3N6",ca
Ximen Mining Corp.,TSX-Venture/OTC/FRA,XIM/XXMMF/1XMA,0.41 CDN,"888 Dunsmuir St, Vancouver, BC V6C 3K4",ca
X-Terra Resources,TSX-Venture/Frankfurt,XTT/XTR,0.09 CDN,"139 Avenue Québec, Rouyn-Noranda, QC J9X 6M8",ca
Yamana Gold Inc.,TSE/NSYE,YRI/AUY ,5.78 CDN,"200 Bay St, Toronto, ON M5J 2J3",ca
Yorbeau Resources Inc.,TSX-Venture,YRB,0.04 CDN,"110 Boulevard Crémazie O, Montréal, QC H2P 1B9",cca
Yukon Mining Alliance,See Individual companies,,,"106 Strickland St, Whitehorse, YT Y1A 2J5",ca
Zen Graphene Solutions,TSX-Venture/OTCQB,ZEN/ZENYF,0.52 CDN,"1205 Amber Drive, Thunder Bay, ON P7B 6M4",ca
Zephyr Minerals Ltd.,TSX-Venture/OTC,ZFR/ZPHYF,0.25 CDN,"1959 Upper Water St, Halifax, NS B3J 3N2",ca
Zimtu Capital Corp.,TSX-Venture/FSE,ZC/ZCT1,0.15 CDN,"789 West Pender St, Vancouver, BC V6C 1H2",ca
Zinc One Resources Inc.,TSX-Venture/OTC/FSE, Z/ZZZOF/RH33,0.02 CDN,"1040 West Georgia St, Vancouver, BC V6E 4H1",ca
ZincX Resources Corp.,TSX-Venture,ZNX ,0.10 CDN,"1055 West Georgia St, Vancouver, BC V6E 3P3",ca
