name,commodity
Sphinx Resources Ltd.,Copper
Spirit Mining LLC,Copper
Strategic Exploration Group,Copper
Stuhini Exploration Ltd.,Copper
Sun Peak Metals,Copper
Talon Metals Corp.,Copper
Teck Resources Limited,Copper
Tectonic Metals Inc.,Copper
Telson Mining Corporation,Copper
Tethyan Resource Corp.,Copper
Timberline Resources Corporation,Copper
Transition Metals Corp.,Copper
Trilogy Metals Inc.,Copper
Triumph Gold Corp.,Copper
Troilus Gold Corp.,Copper
Valoriza Mineria SL,Copper
Vizsla Resources Corp.,Copper
VR Resources Ltd.,Copper
Vulcan Minerals Inc.,Copper
Wealth Minerals Ltd.,Copper
Western Alaska Copper and Gold,Copper
Western Copper and Gold Corporation,Copper
White Rock Minerals,Copper
Windfall Geotek Inc.,Copper
Xiana Mining Inc.,Copper
Ximen Mining Corp.,Copper
Yorbeau Resources Inc.,Copper
Yukon Mining Alliance,Copper
Altius Minerals Corp.,Diamonds
Anglo American,Diamonds
Arctic Star Exploration Corp.,Diamonds
CanAlaska Uranium Ltd.,Diamonds
Conroy Gold and Natural Resources plc,Diamonds
Diamcor Mining Inc.,Diamonds
Discovery Group,Diamonds
Greg Exploration Inc.,Diamonds
Lundin Group,Diamonds
Moydow Resources Limited,Diamonds
North Arrow Minerals Inc.,Diamonds
Olivut Resources Ltd.,Diamonds
Rio Tinto,Diamonds
RJK Explorations Ltd.,Diamonds
Star Diamond Corporation,Diamonds
Strategic Exploration Group,Diamonds
Talmora Diamond Inc.,Diamonds
Transition Metals Corp.,Diamonds
Tres-Or Resources Ltd.,Diamonds
Windfall Geotek Inc.,Diamonds
Lara Exploration Ltd.,Fertilizers
Montero Mining & Exploration Ltd.,Fertilizers
SQM,Fertilizers
AbraPlata Resource Corp.,Gold
Adamera Minerals Corp.,Gold
Adriatic Metals Plc,Gold
Adventus Mining Corporation,Gold
Affinity Metals  Corp,Gold
Agnico Eagle Mines Limited,Gold
AJN Resources Inc.,Gold
Alacer Gold Corp.,Gold
Alamos Gold Inc.,Gold
Aldebaran Resources Inc.,Gold
Almaden Minerals Ltd.,Gold
Altamira Gold,Gold
Alto Ventures Ltd.,Gold
ALX Resources Corp.,Gold
Amarillo Gold Corp.,Gold
American Creek Resources Ltd.,Gold
Americas Gold and Silver,Gold
Amex Exploration,Gold
Anaconda Mining Inc.,Gold
Andino Commodities S.A.S,Gold
Aquila Resources Inc.,Gold
Ardiden Limited,Gold
Argo Gold,Gold
Argonaut Gold Inc.,Gold
Artemis Gold Inc.,Gold
Artisanal Gold Council,Gold
Asante Gold Corporation,Gold
Ascendant Resources Inc.,Gold
Ascot Resources Ltd.,Gold
Aston Bay,Gold
ATAC Resources Ltd.,Gold
Atlantic Gold Corporation,Gold
Auramex Resource Corp,Gold
Aurania Resources Ltd.,Gold
