,name,biztype
222,Outotec,Expl/Mining Equipment/Supplies
223,Petro-Canada Fuels,Expl/Mining Equipment/Supplies
224,Pilot Diamond Tools,Expl/Mining Equipment/Supplies
225,PowerTraxx Vehicles Inc.,Expl/Mining Equipment/Supplies
226,Prolenc Mfg Inc,Expl/Mining Equipment/Supplies
227,PumpEng,Expl/Mining Equipment/Supplies
228,Quarry and Mining Equipment Ltd.,Expl/Mining Equipment/Supplies
229,RBL-REI,Expl/Mining Equipment/Supplies
230,RDH Mining Equipment,Expl/Mining Equipment/Supplies
231,ROCK-TECH,Expl/Mining Equipment/Supplies
232,SafeSight Exploration Inc.,Expl/Mining Equipment/Supplies
233,Saskatchewan Trade and Export Partnership,Expl/Mining Equipment/Supplies
234,"SciAps, Inc.",Expl/Mining Equipment/Supplies
235,SEI Industries Ltd.,Expl/Mining Equipment/Supplies
236,Sepro Systems,Expl/Mining Equipment/Supplies
237,Silicon Sensing Systems,Expl/Mining Equipment/Supplies
238,"SmithCo Mfg, Inc",Expl/Mining Equipment/Supplies
239,SNF Canada,Expl/Mining Equipment/Supplies
240,Son-Mak,Expl/Mining Equipment/Supplies
241,Spectral Evolution,Expl/Mining Equipment/Supplies
242,Stockholm Precision Tools AB,Expl/Mining Equipment/Supplies
243,SUNDRIL,Expl/Mining Equipment/Supplies
244,Technidrill,Expl/Mining Equipment/Supplies
245,Tema Isenmann Inc.,Expl/Mining Equipment/Supplies
246,Terraplus Inc.,Expl/Mining Equipment/Supplies
247,The Thyssen Mining Group of Companies,Expl/Mining Equipment/Supplies
248,Thermo Fisher Scientific,Expl/Mining Equipment/Supplies
249,Thor Global Enterprises Ltd.,Expl/Mining Equipment/Supplies
250,Tioga Air Heaters,Expl/Mining Equipment/Supplies
251,Tretan Inc.,Expl/Mining Equipment/Supplies
252,Vancon Core Saw Inc.,Expl/Mining Equipment/Supplies
253,Wajax,Expl/Mining Equipment/Supplies
254,"Walden Group, The",Expl/Mining Equipment/Supplies
255,Weatherhaven,Expl/Mining Equipment/Supplies
256,West End Radiators,Expl/Mining Equipment/Supplies
257,Westpro Machinery Inc.,Expl/Mining Equipment/Supplies
258,Xploration Services Greenland A/S,Expl/Mining Equipment/Supplies
259,Yesti Insaat ve Tic. Ltd. Sti.,Expl/Mining Equipment/Supplies
260,Amis,Exploration/Mining Company
261,Bag Supplies Canada Ltd.,Exploration/Mining Company
262,DMC Mining Services,Exploration/Mining Company
263,Dumas Contracting Ltd.,Exploration/Mining Company
264,Fordia Powered by Epiroc,Exploration/Mining Company
265,More Core Diamond Drilling Services Ltd.,Exploration/Mining Company
266,SCR Mining and Tunnelling L.P.,Exploration/Mining Company
267,Sigfusson Northern Ltd.,Exploration/Mining Company
268,Star Trace Private Ltd.,Exploration/Mining Company
269,S&P Global Market Intelligence,Finance Division/Institution
270,Davidson & Company LLP,Financial/Insurance Company
271,GoldFinX PTE Ltd.,Financial/Insurance Company
272,PDAC Partnered Insurance Program,Financial/Insurance Company
273,TFG Global Insurance Solutions Ltd.,Financial/Insurance Company
274,Thomas O'Neill & Associates Inc.,Financial/Insurance Company
275,BRGM,Geological Survey
276,"British Columbia, Ministry of Energy, Mines and Petroleum Resources",Geological Survey
277,Canada-Nunavut Geoscience Office,Geological Survey
278,"Finland, Geological Survey of",Geological Survey
279,Geological Survey of New South Wales (Australia Minerals),Geological Survey
280,Geological Survey of Victoria (Australia Minerals),Geological Survey
281,Geoscience Australia (Australia Minerals),Geological Survey
282,Mineral Resources Tasmania (Australia Minerals),Geological Survey
283,Namibia Geological Survey,Geological Survey
284,New Zealand Government,Geological Survey
285,Northern Territory Geological Survey (Australia Minerals),Geological Survey
286,"Norway, Geological Survey of",Geological Survey
287,Precision GeoSurveys Inc.,Geological Survey
288,Queensland Government (Australia Minerals),Geological Survey
289,"South Australia, Government of (Australia Minerals)",Geological Survey
290,"Sweden, Geological Survey of",Geological Survey
291,U.S. Geological Survey,Geological Survey
292,"Western Australia, Department of Mines, Industry Regulation and Safety (Australia Minerals)",Geological Survey
293,Abitibi Geophysics Inc.,Geophysical Services & Equip
294,Advanced Geophysical Operations and Services Inc. (AGCOS),Geophysical Services & Equip
295,Advanced Geosciences Inc.,Geophysical Services & Equip
296,Advanced Logic Technology (ALT),Geophysical Services & Equip
297,Aerogeophysica Inc.,Geophysical Services & Equip
298,AeroGeophysical Surveys,Geophysical Services & Equip
299,"Allegheny Instruments, Inc.",Geophysical Services & Equip
300,"Basler Turbo Conversions, LLC",Geophysical Services & Equip
301,ClearView Geophysics Inc.,Geophysical Services & Equip
302,"CRM GeoTomography Technologies, Inc.",Geophysical Services & Equip
303,Crone Geophysics & Exploration Ltd.,Geophysical Services & Equip
304,Datarock Pty Ltd.,Geophysical Services & Equip
305,DGI Geoscience Inc.,Geophysical Services & Equip
306,Dias Geophysical Limited,Geophysical Services & Equip
307,Discovery International Geophysics Inc.,Geophysical Services & Equip
308,DMT Group,Geophysical Services & Equip
309,ElectroMagnetic Imaging Technology,Geophysical Services & Equip
310,EON Geosciences Inc.,Geophysical Services & Equip
311,Expert Geophysics Limited,Geophysical Services & Equip
312,Gap - Discovery HeliSAM Ltd.,Geophysical Services & Equip
313,GEM Systems Advanced Magnetometers,Geophysical Services & Equip
314,Geo Data Solutions Inc.,Geophysical Services & Equip
315,GEODEVICE,Geophysical Services & Equip
316,Geometrics,Geophysical Services & Equip
317,Geonics Limited,Geophysical Services & Equip
318,Geoscan,Geophysical Services & Equip
319,GeoSight Inc.,Geophysical Services & Equip
320,Geotech Ltd.,Geophysical Services & Equip
321,Geotechnologies,Geophysical Services & Equip
322,Geovista,Geophysical Services & Equip
323,GF Instruments,Geophysical Services & Equip
324,Groundradar Inc.,Geophysical Services & Equip
325,HiSeis Pty Ltd.,Geophysical Services & Equip
326,IFG Corporation,Geophysical Services & Equip
327,Initial Exploration Services Inc.,Geophysical Services & Equip
328,Instrumentation GDD Inc.,Geophysical Services & Equip
329,International Directional Services,Geophysical Services & Equip
330,Kroum VS Instruments Limited,Geophysical Services & Equip
331,Lake Central Air Services Inc.,Geophysical Services & Equip
332,Lamontagne Geophysics Ltd.,Geophysical Services & Equip
333,LIM Logging,Geophysical Services & Equip
334,Medusa Radiometrics BV,Geophysical Services & Equip
335,Minewise Technology,Geophysical Services & Equip
336,Mount Sopris Instruments,Geophysical Services & Equip
337,MPX Geophysics Ltd.,Geophysical Services & Equip
338,New Resolution Geophysics,Geophysical Services & Equip
339,New-Sense Geophysics Limited,Geophysical Services & Equip
340,Nuvia Dynamics,Geophysical Services & Equip
341,Phoenix Geophysics Limited,Geophysical Services & Equip
342,Pioneer Aerial Surveys Inc.,Geophysical Services & Equip
343,Quantec Geoscience,Geophysical Services & Equip
344,Radiation Solutions Inc.,Geophysical Services & Equip
345,RMS Instruments,Geophysical Services & Equip
346,"Robertson Geologging USA, Inc.",Geophysical Services & Equip
347,Sander Geophysics,Geophysical Services & Equip
348,Scintrex,Geophysical Services & Equip
349,Scott Hogg & Associates Ltd.,Geophysical Services & Equip
350,Semm Logging,Geophysical Services & Equip
