name,country
UEX Corporation,Canada
Vale Canada Limited,Canada
VanadiumCorp Resource Inc.,Canada
Victory Nickel Inc.,Canada
Vior Inc.,Canada
Vizsla Resources Corp.,Canada
Vulcan Minerals Inc.,Canada
Wallbridge Mining Company Limited,Canada
Wesdome Gold Mines,Canada
West Red Lake Gold Mines Inc.,Canada
Western Atlas Resources Inc.,Canada
Western Copper and Gold Corporation,Canada
Westhaven Ventures Inc.,Canada
Wheaton Precious Metals Corp.,Canada
White Gold Corp.,Canada
Wildsky Resources Inc.,Canada
Windfall Geotek Inc.,Canada
Wolfden Resources Corporation,Canada
Ximen Mining Corp.,Canada
X-Terra Resources,Canada
Yamana Gold Inc.,Canada
Yorbeau Resources Inc.,Canada
Yukon Mining Alliance,Canada
Zen Graphene Solutions,Canada
Zimtu Capital Corp.,Canada
ZincX Resources Corp.,Canada
AbraPlata Resource Corp.,Chile
Altius Minerals Corp.,Chile
Anglo American,Chile
AURYN Mining Corp.,Chile
Barrick Gold Corporation,Chile
BHP,Chile
Cornerstone Capital Resources Inc.,Chile
Equus Mining Limited,Chile
Golden Arrow Resources,Chile
Kingsgate Consolidated Limited,Chile
Kinross Gold Corporation,Chile
Lundin Group,Chile
Metals Group Inc.,Chile
Minera Tres Valles,Chile
Mirasol Resources Ltd.,Chile
Montero Mining & Exploration Ltd.,Chile
Newcrest Mining Ltd.,Chile
Newmont Corporation,Chile
Orestone Mining Corp,Chile
Pacific Trends Resources Pty Ltd,Chile
Red Metal Resources Ltd.,Chile
Revelo Resources Corp.,Chile
Rio Tinto,Chile
Sandstorm Gold Royalties,Chile
SQM,Chile
Teck Resources Limited,Chile
Wealth Minerals Ltd.,Chile
Wheaton Precious Metals Corp.,Chile
Xiana Mining Inc.,Chile
Yamana Gold Inc.,Chile
China Gold International Resources Corp. Ltd.,China
Rio Tinto,China
Silvercorp Metals Inc.,China
Andino Commodities S.A.S,Colombia
Artisanal Gold Council,Colombia
B2Gold Corp.,Colombia
Continental Gold Inc.,Colombia
GoldMining Inc.,Colombia
Gran Colombia Gold Corp.,Colombia
High Power Exploration,Colombia
IAMGOLD Corporation,Colombia
Lara Exploration Ltd.,Colombia
Libero Copper,Colombia
Morocota Gold SAS,Colombia
Newmont Corporation,Colombia
Newrange Gold Corp.,Colombia
Royal Road Minerals,Colombia
Rugby Mining Limited,Colombia
South32 Limited,Colombia
AJN Resources Inc.,Democratic Republic of the Congo
Ivanhoe Mines,Democratic Republic of the Congo
MANAGEM Group,Democratic Republic of the Congo
Awale Resources Ltd.,Côte d'Ivoire
High Power Exploration,Côte d'Ivoire
MANAGEM Group,Côte d'Ivoire
Roxgold Inc.,Côte d'Ivoire
Teranga Gold Corporation,Côte d'Ivoire
Energold Corp.,Dominican Republic
GoldQuest Mining Corp.,Dominican Republic
