,name,country
233,McEwen Mining Inc.,Canada
234,MegumaGold,Canada
235,Metallic Group of Companies,Canada
236,Metals Creek Resources Corp.,Canada
237,Metals Group Inc.,Canada
238,Midland Exploration Inc.,Canada
239,Monarques Gold Corporation,Canada
240,Moneta Porcupine Mines Inc.,Canada
241,Morien Resources Corp.,Canada
242,Moydow Resources Limited,Canada
243,Murchison Minerals Ltd.,Canada
244,New Age Metals,Canada
245,New Found Gold Corp,Canada
246,New Gold Inc.,Canada
247,New Pacific Metals Corp.,Canada
248,Newcrest Mining Ltd.,Canada
249,Newmont Corporation,Canada
250,Nicola Mining Inc.,Canada
251,NioBay Metals Inc.,Canada
252,Noront Resources Ltd.,Canada
253,North Arrow Minerals Inc.,Canada
254,Northern Graphite Corporation,Canada
255,Northern Shield Resources Inc.,Canada
256,Northern Superior Resources Inc.,Canada
257,Northstar Gold Corp.,Canada
258,NorZinc Ltd,Canada
259,Nouveau Monde Graphite,Canada
260,Olivut Resources Ltd.,Canada
261,Opus One Resources Inc.,Canada
262,Orefinders Resources Inc.,Canada
263,Orestone Mining Corp,Canada
264,Orford Mining Corp.,Canada
265,Osisko Metals Incorporated,Canada
266,OTC Markets Group,Canada
267,Otso Gold Corp.,Canada
268,Pacific Empire Minerals Corp.,Canada
269,Pacton Gold Inc.,Canada
270,Palladium One,Canada
271,Pancontinental Resources Corporation,Canada
272,Pavey Ark Minerals Inc.,Canada
273,Pelangio Exploration Inc.,Canada
274,Portofino Resources Inc.,Canada
275,Power Ore Inc.,Canada
276,Premier Gold Mines Limited,Canada
277,Privateer Gold,Canada
278,Probe Metals Inc.,Canada
279,Prophecy Development Corp.,Canada
280,Pure Gold Mining,Canada
281,Purepoint Uranium Group Inc.,Canada
282,QMX Gold Corporation,Canada
283,Radisson Mining Resources Inc.,Canada
284,Red Cloud Securities Inc.,Canada
285,Red Pine Exploration Inc.,Canada
286,Renforth Resources Inc.,Canada
287,Resource Capital Funds,Canada
288,Richardson GMP - Alexandra Horwood,Canada
289,Rio Tinto,Canada
290,Riverside Resources Inc.,Canada
291,RJK Explorations Ltd.,Canada
292,RNC Minerals,Canada
293,Rockcliff Metals Corporation,Canada
294,ROKMASTER Resources Corp.,Canada
295,Romios Gold Resources Inc.,Canada
296,Royal Canadian Mint,Canada
297,Sabina Gold & Silver Corp.,Canada
298,Sandstorm Gold Royalties,Canada
299,Sayona Mining Limited,Canada
300,ScoZinc Mining Ltd.,Canada
301,Searchlight Resources Inc.,Canada
302,Serengeti Resources Inc.,Canada
303,Sherritt International Corporation,Canada
304,Sidex,Canada
305,Sirios Resources Inc.,Canada
