id,booth,name,website
247,719,"Independent Mining Consultants, Inc.",http://www.imctucson.com
248,1241,"India, Government of, Ministry of Mines",http://www.mines.nic.in
249,6510N,Inertial Sensing,http://www.inertialsensing.com
250,130,Infosat Communications LP,http://www.infosat.com
251,713,Ingetrol Group,http://www.ingetrol.com
252,7130N,Initial Exploration Services Inc.,http://www.initialexploration.com
253,239,InnovExplo Inc.,http://www.innovexplo.com
254,944,Innu Development Limited Partnership,http://www.innudev.com
255,7128N,INR Engineering & Consulting Inc.,http://www.inr.com.tr
256,706,Instrumentation GDD Inc.,http://www.gdd.ca
257,6206N,International Airborne Geophysics Safety Association,http://www.iagsa.ca
258,337,International Directional Services,http://www.idsdrill.com
259,7510N,International SOS,https://www.internationalsos.com
260,7205N,Intertek,http://www.intertek.com
261,7115N,Ireland Pavilion,http://www.gesocience.ie
262,903,"Ireland, Department of Communications, Climate Action & Environment",http://www.dccae.gov.ie
263,608,IRL Supplies Ltd.,http://www.irlsupplies.com
264,602,ITC Global,http://www.itcglobal.com
265,6827N,ITRES Research Limited,http://www.itres.com
266,1407,Jacobs,http://www.jacobs.com
267,7229N,Jambo,http://www.jambo.cloud
268,1047,"Japan Oil, Gas and Metals National Corporation",http://www.jogmec.go.jp
269,1204,Japosat Satellite Mapping,http://www.japosat.com
270,6315N,"Jinshi Drilltech Co., Ltd.",http://www.jsexplo.com
271,7527N,K2fly,http://www.k2fly.com
272,1131,"Kappes, Cassiday & Associates",http://www.kcareno.com
273,649,Keller,http://www.kellerfoundations.ca
274,7426N,KEMAICO USA CORP.,http://WWW.KEMAICO.COM
275,1052,Kemetco Research Inc.,http://www.kemetco.com
276,6403N,Kenn Borek Air,http://www.borekair.com
277,119,Kingston Process Metallurgy Inc.,http://www.kpm.ca
278,7028N,Kitco Metals (Precious Metals Division),http://www.online.kitco.com
279,1117,Kitikmeot Cementation Mining & Development Ltd.,http://www.kitikmeotcorp.ca
280,347,Klen International,http://www.klen.com.au
281,1041,Knight Piésold Ltd.,http://www.knightpiesold.com
282,6234N,Komplete Modular Solutions Ltd.,http://www.komplete.ca
283,6322N,Kovatera,http://www.minecat.com
284,514,Kroum VS Instruments Limited,http://www.kroumvs.com
285,6425N,Krux Analytics,http://www.kruxanalytics.com
286,6205N,Kuvawala Core Drill Eqpt. Pvt. Ltd.,http://www.kuvawalacoredrill.com
287,508,Lake Central Air Services Inc.,http://www.lakecentral.com
288,1103,Lamontagne Geophysics Ltd.,http://www.lamontagnegeophysics.com
289,129,Langara Island Lodge,http://www.langara.com
290,6431N,Lantern,http://www.drillwithlantern.com
291,7514N,LATAM Airlines,http://www.latam.com
292,1230,"Laurentian University, Harquail School of Earth Sciences ",http://www.hes.laurentian.ca
293,6524N,Legacy Building Solutions,http://www.legacybuildingsolutions.com
294,1110,Levanto Canada Inc.,http://www.levanto.fi/en
295,6201N,LGL Limited,http://www.lgl.com
296,241,LiDAR Services International Inc.,http://www.lidarservices.ca
297,442,LIM Logging,http://www.lim.eu
298,7410N,Loesche South Africa,http://www.loesche.com
299,1337,Machines Roger International,http://www.machines-roger.com
300,216,MacLean Engineering,http://www.macleanengineering.com
301,6109N,Magnor,http://www.magnor.ca
302,330,Major Drilling,http://www.majordrilling.com
303,6323N,Major Reclaim Corp.,http://www.majorreclaim.com
304,939,Malvern Panalytical Inc.,http://www.malvernpanalytical.com
305,6111N,Manitoba Geoscience Education,http://www.miningacademy.ca
306,731,Manitoba Pavilion,http://www.manitoba.ca/minerals
307,441,Manufacture Adria inc.,http://www.adria-corp.com
308,1039,Maptek,http://www.maptek.com
309,6434N,MARL Technologies Inc.,http://www.marltechnologies.com
310,748,Matawa First Nations,http://www.matawa.on.ca
311,1106,Matrix GeoTechnologies Ltd.,http://www.matrixgt.com
312,1112,Matrix Helicopter Solutions Inc.,http://www.matrixco.ca
313,401,Maxidrill Inc.,http://www.maxidrill.com
314,424,Maxwell GeoServices,http://www.maxgeo.com
315,1322,MBI Drilling Products,http://www.mbidrillingproducts.com
316,1040,McCue Engineering Contractors,http://www.mccuecontracting.com
317,503,McDowell B. Equipment,http://www.bmcdowell.com
318,625,McElhanney Ltd.,http://www.mcelhanney.com
319,6428N,Me Too Mining Association,http://www.metoomining.com
320,446,Medusa Radiometrics BV,http://www.medusa-radiometrics.com
321,613,Megadome Buildings,http://www.megadomebuildings.com
322,6413N,Meglab,http://www.meglab.ca
323,440,Mercator Geological Services Limited,http://www.mercatorgeo.com
324,6406N,Methapharm Inc.,http://www.methapharm.com
325,7530N,Metso,http://www.metso.com
326,1215,Mexico Pavilion,http://www.geoimin.com.mx
327,1302,"M-I SWACO, A Schlumberger Co. ",http://www.slb.com
328,603,MICROMINE,http://www.micromine.com
329,853,Minalyze AB,http://www.minalyze.com
330,913,Mincon Group PLC,http://www.mincon.com
331,923,MineAfrica Inc.,http://www.mineafrica.com
332,1228,MineHutte,http://www.minehutte.com
333,311,Mineral Exploration Cooperative Research Centre,http://www.minexcrc.com.au
334,315,Mineral Resources Tasmania (Australia Minerals),http://www.australiaminerals.gov.au
335,249,Mineral Technologies,http://www.mineraltechnologies.com
336,1451,Minerals Commission Ghana,http://www.mincom.gov.gh
337,601,Minerva Intelligence Inc.,http://www.minervaintelligence.com
338,6523N,Minewise Technology,http://www.minewise.com
339,1240,Mining and Process Solutions Pty Ltd.,http://www.mpsinnovation.com.au
340,6310N,Mining Finland,http://www.miningfinland.com
341,7406N,Mining Footprint Ltd.,http://www.miningfootprint.com
342,6508N,Mining Industry Human Resources Council (MiHR),http://www.mihr.ca
343,919,Mining Suppliers Trade Association (MSTA Canada),http://www.mstacanada.ca
344,1043,Minnesota Department of Natural Resources,http://www.mcc.mn.gov
345,814,Mira Geoscience Ltd.,http://www.mirageoscience.com
346,6229N,MMD Mineral Sizing Canada Inc.,http://www.mmdsizers.com
347,6829N,"Mongolia, Government of",http://www.mmhi.gov.mn
348,1123,Montt Group SpA,http://www.monttgroup.com
349,7412N,More Core Diamond Drilling Services Ltd.,http://www.morecore.ca
350,126,Moroccan National Office of Hydrocarbons and Mines (ONHYM),http://www.onhym.com
351,1417,Mount Sopris Instruments,http://www.mountsopris.com
352,805,MPX Geophysics Ltd.,http://www.mpxgeophysics.com
353,1006,MS Analytical,http://www.msalabs.com
354,1332,Mud Bay Drilling,http://www.mudbaydrilling.com
355,1151,Multi-Power Products Ltd.,http://www.multipowerproducts.com
356,712,Namibia Geological Survey,http://www.gsn.gov.na
357,518,National Compressed Air Canada Ltd.,http://www.nationalcompressedair.com
358,338,Natural History Museum Consulting,http://www.nhm.ac.uk/business-services/consulting
359,109,Network Innovations Inc.,http://www.networkinv.com
360,7017N,Nevada ,http://www.minerals.nv.gov
361,136,New Brunswick Department of Natural Resources and Energy Development,http://www.gnb.ca/minerals
362,138,New Brunswick Prospectors & Developers Association,http://www.nbpda.org
363,1108,New Resolution Geophysics,http://www.airbornegeophysics.com
364,904,New Zealand Government,http://www.nzpam.govt.nz
365,149,Newfoundland and Labrador: Explore the opportunities,http://www.nr.gov.nl.ca/nr
366,212,New-Sense Geophysics Limited,http://www.new-sense.com
367,1443,Newterra Ltd.,http://www.newterra.com
368,6506N,Nolinor Aviation,http://www.nolinor.com
369,6823N,Nordmin Group of Companies,http://www.nordmin.com
370,111,Norseman Structures,http://www.norsemanstructures.com
371,907,"Northern Ireland, Department for the Economy",http://www.bgs.ac.uk/gsni
372,6435N,Northern Light Technologies,http://www.nltinc.com
373,6419N,Northern Mat & Bridge,http://www.northernmat.ca
374,810,"Northern Miner Group, The",http://www.northernminer.com
375,6501N,Northern Ontario Mining Showcase,http://www.northernontariomining.com
376,414,Northern Territory Geological Survey (Australia Minerals),http://www.australiaminerals.gov.au
377,6405N,Northspan Explorations Ltd.,http://www.northspan.ca
378,651,Northwest Drills,http://www.nwdrills.com
379,1008,Northwest Territories & Nunavut Chamber of Mines,http://www.miningnorth.com
380,1107,"Northwest Territories, Government of",http://www.nwtmining.com
381,815,"Norway, Geological Survey of",http://www.ngu.no
382,145,Nova Scotia Department of Energy and Mines ,http://www.gov.ns.ca
383,137,Nova Scotia Prospectors Association,http://www.prospectors.ns.ca
384,513,NSS Canada,http://www.nsscanada.com
385,1113,NTT CORESAW,http://www.nttcoresaw.com
386,1115,Nuna Logistics Partnership,http://www.nunalogistics.com
387,7524N,Nunatsiavut Government,http://www.nunatsiavut.com
388,1114,Nunavut Tunngavik Incorporated,http://www.tunngavik.com
389,1016,"Nunavut, Government of",http://www.gov.nu.ca/edt
390,1037,Nuvia Dynamics,http://www.nuvia-dynamics.com
391,1053,Objectivity,http://www.objectivity.ca
392,914,Olympus,http://www.olympus-ims.com
393,637,"Ontario Ministry of Energy, Northern Development and Mines",http://www.mndm.gov.on.ca
394,7411N,Opportunities New Brunswick,http://www.onbcanada.ca
395,404,OREAS,http://www.ore.com.au
396,353,Orix Geoscience Inc.,http://www.orixgeo.com
397,803,Outotec,http://www.outotec.com
398,910,Overburden Drilling Management Limited,http://www.odm.ca
399,614,Pacific Geomatics Ltd.,http://www.pacgeo.com
400,522,"Paterson, Grant & Watson Limited",http://www.pgw.ca
401,340,PDAC Partnered Insurance Program,https://www.pdac.ca/members/insurance
402,1423,Peru,http://www.canadaperu.org
403,6223N,Petro-Canada Fuels,http://www.petro-canada.ca/business
404,211,Phoenix Geophysics Limited,http://www.phoenix-geophysics.com
405,510,PhotoSat Information Ltd.,http://www.photosat.ca
406,1231,PHQGlobal,http://www.phqglobal.com
407,7030N,Pilot Diamond Tools,http://www.pilotdiamondtools.ca
408,118,Pioneer Aerial Surveys Inc.,http://www.pioneeraerialsurveys.com
409,523,Piteau Associates Engineering Ltd.,http://www.piteau.com
410,6423N,PLS Insoles Inc.,http://www.plsinsoles.ca
411,7026N,Poly-Mor Canada Inc,http://www.poly-mor.ca
412,1127,PowerTraxx Vehicles Inc.,http://www.powertraxx.com
413,1250,Pozitif Drilling Canada Ltd.,http://www.pozitifdrilling.com
414,6822N,Precision GeoSurveys Inc.,http://www.precisiongeosurveys.com
415,1149,Priority Drilling Ltd.,http://www.prioritydrilling.ie
416,851,Professional Geoscientists Ontario (PGO),http://www.pgo.ca
417,6628N,Prolenc Mfg Inc,http://www.prolenc.com
418,1202,Promer Consultancy Engineering Inc.,http://www.promerengineering.com.tr
419,606,Promine,http://www.promine.com
420,7314N,PumpEng,http://www.jetguard.com.au
421,7430N,"Qingdao Fambition Heavy Machinery Co.,Ltd",http://www.bjscreens.com
422,1323,Quantec Geoscience,http://www.quantecgeoscience.com
423,938,Quarry and Mining Equipment Ltd.,http://www.qme.ie
424,"222, 223","Québec, Gouvernement",http://www.mern.gouv.qc.ca
425,1046,"Queen's University, Department of Geology",http://www.queensu.ca/geol
426,319,Queensland Government (Australia Minerals),http://www.australiaminerals.gov.au
427,617,R.T. Boyd Limited,http://www.rtboydlimited.com
428,808,Radiation Solutions Inc.,http://www.radiationsolutions.ca
429,943,RBL-REI,http://www.rblrei-france.com
430,437,RDH Mining Equipment,http://www.rdhscharf.com
431,752,"Red Lake, Municipality of",http://www.redlake.ca
432,327,Reflex Instruments N.A.,http://www.reflexnow.com
433,7318N,Risk Assistance Group,http://www.riskassistancegroup.com
434,208,RMS Instruments,http://www.rmsinst.com
435,6300N,RNP MEXICO,http://www.rnpsa.com
436,343,Roadpost,http://www.roadpost.com
437,1210,"Robertson Geologging USA, Inc.",http://www.robertson-geo.com
438,6516N,"ROCKMORE International, Inc.",http://www.rockmore-intl.com
439,1036,ROCK-TECH,http://www.rock-tech.com
440,1012,Romquest Technologies,http://www.romquest.com
441,316,Roscoe Postle Associates Inc.,http://www.rpacan.com
442,431,RPC,http://www.rpc.ca
443,708,RPMGlobal Canada Ltd.,http://www.rpmglobal.com
444,1031,Russian Federation - Rosnedra,http://www.vims-geo.ru
445,509,"Russian Stone, The",http://www.therussianstone.com
446,502,RWDI,http://www.rwdi.com
447,115,S&P Global Market Intelligence,http://www.marketintelligence.spglobal.com
448,7415N,SafeBox,http://www.safeboxsystems.com
449,6203N,SafeSight Exploration Inc.,http://www.safesightxp.com
450,131,Sander Geophysics,http://www.sgl.com
451,829,Sandvik Mining,http://www.sandvik.com
452,6303N,Saskatchewan Trade and Export Partnership,http://www.sasktrade.com
453,531,"Saskatchewan, Government of",http://www.saskatchewan.ca
454,6826N,SAXUM Engineered Solutions,http://www.saxum.us
455,322,"Schramm, Inc.",http://www.schramminc.com
456,7310N,Schulich Executive Education Centre (SEEC),http://www.seec.schulich.yorku.ca
457,7311N,"SciAps, Inc.",http://www.sciaps.com
458,1001,Scintrex,http://www.scintrexltd.com
459,722,Scott Hogg & Associates Ltd.,http://www.shageophysics.com
460,6334N,Scott Steel Erectors Inc.,http://www.scottsteel.ca
461,7213N,Scott Technology Ltd.,http://www.scottautomation.com
462,7031N,SCR Mining and Tunnelling L.P.,http://www.scrmines.com
463,"350, 931",Seequent,http://www.seequent.com
